plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1A1_B02,B02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,2,0,0,0,0,-2050996.219,0,0,0,-3427312.461,-359.4504448,-2256389.867,-985.7452363,0,0,0,0,0,-257095.6875,-1211.117192,0,0,0,-2256389.867,-985.7452363,0,0,-2020424.063,-593.3078644,0,0,0,0,0,-1626000.938,0,-227.75,-5.022287169,0,-2020424.063,-593.3078644,0,0,-1202949.406,0,0,0,0,0,0,-1960405.25,0,0,0,0,0,0,-1960405.25,0
1A1_B03,B03,Plate1_drugs,1,bleomycin,treated,1,20,1A1,2,3,0,0,0,0,-2086362.094,0,0,0,-3317872.813,-350.3247563,-2237643.141,-1057.828296,0,0,0,0,0,-291161.1875,-1412.704411,0,0,0,-2237643.141,-1057.828296,0,0,-2197987,-717.6468659,0,0,0,0,0,-2043973.031,0,-283,-8.079243865,0,-2197987,-717.6468659,0,0,-1693913.781,0,0,0,0,0,0,-1993429.438,0,0,0,0,0,0,-1993429.438,0
1A1_B04,B04,Plate1_drugs,1,bleomycin,treated,0.5,10,1A1,2,4,0,0,0,0,-1762467.25,0,0,0,-3365020.484,-316.7304529,-2377754.406,-982.276964,0,0,0,0,0,-284811.4688,-1142.208357,0,0,0,-2377754.406,-982.276964,0,0,-2247564.219,-653.0021441,0,0,0,0,0,-2059535.875,0,-275.6875,-8.248965003,0,-2247564.219,-653.0021441,0,0,-941399.0625,0,0,0,0,0,0,-1701085.875,0,0,0,0,0,0,-1701085.875,0
1A1_B05,B05,Plate1_drugs,1,bleomycin,treated,0.25,5,1A1,2,5,0,0,0,0,-1813900.719,0,0,0,-3653772.398,-316.9055511,-2287920.82,-938.6958842,0,0,0,0,0,-245404.2813,-1057.792734,0,0,0,-2287920.82,-938.6958842,0,0,-2260404.938,-675.1605748,0,0,0,0,0,-1945306.438,0,-265.125,-7.272970327,0,-2260404.938,-675.1605748,0,0,-905566.875,0,0,0,0,0,0,-1711383.469,0,0,0,0,0,0,-1711383.469,0
1A1_B06,B06,Plate1_drugs,1,bleomycin,treated,0.125,2.5,1A1,2,6,0,0,0,0,-1742943.656,0,0,0,-3277063.375,-250.8182726,-2261755.734,-946.8882541,0,0,0,0,0,-258093.7813,-1129.523588,0,0,0,-2261755.734,-946.8882541,0,0,-2478846.906,-757.8641012,0,0,0,0,0,-1930469.875,0,-266.625,-6.970348143,0,-2478846.906,-757.8641012,0,0,-905378.7188,0,0,0,0,0,0,-1665534.281,0,0,0,0,0,0,-1665534.281,0
1A1_B07,B07,Plate1_drugs,1,bleomycin,treated,0.0625,1.25,1A1,2,7,0,0,0,0,-1769369.313,0,0,0,-3057941.398,-277.6826109,-2272684.609,-986.4920482,0,0,0,0,0,-298020.9688,-1122.176753,0,0,0,-2272684.609,-986.4920482,0,0,-2466874.844,-709.1685882,0,0,0,0,0,-1997718.469,0,-283.28125,-6.159639527,0,-2466874.844,-709.1685882,0,0,-557113.6875,0,0,0,0,0,0,-1675746.531,0,0,0,0,0,0,-1675746.531,0
1A1_B08,B08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,8,0,0,0,0,-1893396,0,0,0,-3540444.164,-309.8401925,-2345244.828,-1024.749148,0,0,0,0,0,-299614.0313,-1253.026088,0,0,0,-2345244.828,-1024.749148,0,0,-2442233.156,-746.1930633,0,0,0,0,0,-2249571.094,0,-319.71875,-7.629498135,0,-2442233.156,-746.1930633,0,0,-535046.0625,0,0,0,0,0,0,-1810082.5,0,0,0,0,0,0,-1810082.5,0
1A1_B09,B09,Plate1_drugs,1,bleomycin,treated,0.03125,0.625,1A1,2,9,0,0,0,0,-1455959.219,0,0,0,-2913578.008,-173.6295338,-2090530.492,-899.26757,0,0,0,0,0,-269803.5,-1026.78919,0,0,0,-2090530.492,-899.26757,0,0,-2225775.219,-719.3435403,0,0,0,0,0,-2545791.938,0,-392.4375,-11.52788498,0,-2225775.219,-719.3435403,0,0,-574160.5625,0,0,0,0,0,0,-1392167.5,0,0,0,0,0,0,-1392167.5,0
1A1_B10,B10,Plate1_drugs,1,bleomycin,treated,0.015625,0.3125,1A1,2,10,0,0,0,0,-1471442.656,0,0,0,-3003031.477,-201.7669437,-1947987.242,-884.8402937,0,0,0,0,0,-208640.1875,-840.9376637,0,0,0,-1947987.242,-884.8402937,0,0,-2138018.094,-745.3488766,0,0,0,0,0,-2204573.125,0,-314.21875,-10.42192363,0,-2138018.094,-745.3488766,0,0,-808394.6563,0,0,0,0,0,0,-1408450.094,0,0,0,0,0,0,-1408450.094,0
1A1_B11,B11,Plate1_drugs,1,alvocidib,treated,1,20,1A1,2,11,0,0,0,0,-1612903.781,0,0,0,-3309825.094,-122.6832917,-2432794.852,-774.3079619,0,0,0,0,0,-214431.0313,-1056.043939,0,0,0,-2432794.852,-774.3079619,0,0,-2549950.344,-838.2164373,0,0,0,0,0,-2442308.313,0,-355.75,-11.33167198,0,-2549950.344,-838.2164373,0,0,-887066.8438,0,0,0,0,0,0,-1555458.906,0,0,0,0,0,0,-1555458.906,0
1A1_B12,B12,Plate1_drugs,1,alvocidib,treated,0.5,10,1A1,2,12,0,0,0,0,-2047106.594,0,0,0,-2738811.336,-167.0123685,-2048535.289,-872.2539389,0,0,0,0,0,-210178.125,-903.7753319,0,0,0,-2048535.289,-872.2539389,0,0,-2466354,-816.4137745,0,0,0,0,0,-2455173.438,0,-349.9375,-12.28124956,0,-2466354,-816.4137745,0,0,-652030.5625,0,0,0,0,0,0,-1960277.563,0,0,0,0,0,0,-1960277.563,0
1A1_B13,B13,Plate1_drugs,1,alvocidib,treated,0.25,5,1A1,2,13,0,0,0,0,-1888436.094,0,0,0,-2453610.375,-153.5082089,-1979224.688,-850.8601271,0,0,0,0,0,-231749.0313,-821.5745846,0,0,0,-1979224.688,-850.8601271,0,0,-2314493.563,-756.0371933,0,0,0,0,0,-2482975.781,0,-381.625,-12.65878228,0,-2314493.563,-756.0371933,0,0,-398474.7188,0,0,0,0,0,0,-1790131.531,0,0,0,0,0,0,-1790131.531,0
1A1_B14,B14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,14,0,0,0,0,-1613624.813,0,0,0,-2396322.867,-185.0205548,-1799039.047,-815.1150785,0,0,0,0,0,-180058.625,-840.5731807,0,0,0,-1799039.047,-815.1150785,0,0,-2228978.469,-826.287624,0,0,0,0,0,-2229219.875,0,-262.09375,-11.82456148,0,-2228978.469,-826.287624,0,0,-438544.0625,0,0,0,0,0,0,-1592996.719,0,0,0,0,0,0,-1592996.719,0
1A1_B15,B15,Plate1_drugs,1,alvocidib,treated,0.125,2.5,1A1,2,15,0,0,0,0,-2092641.188,0,0,0,-2974170.766,-236.5290358,-2068253.352,-956.5498205,0,0,0,0,0,-182469.0313,-848.2490658,0,0,0,-2068253.352,-956.5498205,0,0,-2405501.438,-890.8125525,0,0,0,0,0,-2197503.031,0,-297.21875,-11.93823616,0,-2405501.438,-890.8125525,0,0,-409967.75,0,0,0,0,0,0,-1989955.688,0,0,0,0,0,0,-1989955.688,0
1A1_B16,B16,Plate1_drugs,1,alvocidib,treated,0.0625,1.25,1A1,2,16,0,0,0,0,-1617760.531,0,0,0,-2779315.305,-154.7835427,-2002967.742,-1004.381758,0,0,0,0,0,-236850.8438,-962.3618466,0,0,0,-2002967.742,-1004.381758,0,0,-2395438.875,-965.9981936,0,0,0,0,0,-2835576.719,0,-343.875,-14.0852259,0,-2395438.875,-965.9981936,0,0,-875970.125,0,0,0,0,0,0,-1565878.875,0,0,0,0,0,0,-1565878.875,0
1A1_B17,B17,Plate1_drugs,1,alvocidib,treated,0.03125,0.625,1A1,2,17,0,0,0,0,-1569140.531,0,0,0,-2841235.852,-258.9168781,-2016608.102,-1009.161103,0,0,0,0,0,-259142.8438,-1177.534252,0,0,0,-2016608.102,-1009.161103,0,0,-2378540.438,-832.1089524,0,0,0,0,0,-2249618.25,0,-309.5625,-9.130812718,0,-2378540.438,-832.1089524,0,0,-610366.875,0,0,0,0,0,0,-1468269.281,0,0,0,0,0,0,-1468269.281,0
1A1_B18,B18,Plate1_drugs,1,alvocidib,treated,0.015625,0.3125,1A1,2,18,0,0,0,0,-1534297.313,0,0,0,-3060325.75,-288.5495729,-1933377.234,-840.376577,0,0,0,0,0,-253714.3438,-1041.059758,0,0,0,-1933377.234,-840.376577,0,0,-2231857.594,-821.192157,0,0,0,0,0,-2024392.156,0,-264.53125,-7.202315153,0,-2231857.594,-821.192157,0,0,-193648.4688,0,0,0,0,0,0,-1433637.875,0,0,0,0,0,0,-1433637.875,0
1A1_B19,B19,Plate1_drugs,1,floxuridine,treated,1,20,1A1,2,19,0,0,0,0,-1551621,0,0,0,-2773406.688,-208.0211072,-1881175.844,-912.877564,0,0,0,0,0,-243218.625,-1062.823436,0,0,0,-1881175.844,-912.877564,0,0,-2162798.406,-850.3975302,0,0,0,0,0,-2557630.031,0,-358.96875,-10.48549114,0,-2162798.406,-850.3975302,0,0,-769240.3125,0,0,0,0,0,0,-1459840.719,0,0,0,0,0,0,-1459840.719,0
1A1_B20,B20,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,20,0,0,0,0,-1681812.906,0,0,0,-2032783.695,-172.2161359,-1815219.57,-975.6811097,0,0,0,0,0,-237033.25,-1107.726837,0,0,0,-1815219.57,-975.6811097,0,0,-2074752,-813.6524866,0,0,0,0,0,-2248190.594,0,-303.96875,-10.75842848,0,-2074752,-813.6524866,0,0,-349071.2188,0,0,0,0,0,0,-1583102.125,0,0,0,0,0,0,-1583102.125,0
